*PARAM,GUID,NAME,DATATYPE,DATACATEGORY,GROUP,VISIBLE,DESCRIPTION,USERMODIFIABLE,HIDEWHENNOVALUE
PARAM,a7c8b2ff-7762-4280-af51-3246998b299c,DW Height,LENGTH,,1,1,#BuildingComponentType,1,0
,,,,,,,,,
PARAM,2B0BBC31-4CFD-9344-B924-C9007B5DDDB9,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,17EA8122-7027-844C-948C-FC73FEACAD8E,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,32EA34D5-ED0E-DB45-A6E9-3A0E9026828B,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,081E3567-C177-C040-92EE-BE322CF9F783,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,F92BBA22-96D0-FC48-9AFA-F2E29305196E,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,63305802-CFA7-1548-B17A-1FB420B7A48E,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,B8CB4917-2572-884C-8F25-00D9EA279BD6,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,66E5B24D-5DF0-1948-8C49-4D9894149F8A,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,1A34CA7F-0832-A340-8436-330A56AACB23,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,4C7BF893-699B-2E4C-B961-D75AF1C4C762,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,5F28186D-D6D0-8149-B48E-D52C7BF0F296,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,8E44BC95-1AAE-5E49-83D7-321982678F6B,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,0F3EDDD1-8228-3E4A-B452-BD28FFC6B5FA,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,F5DF9DC2-AF64-A94C-84E0-2FFCAD1F8B26,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,C4F70361-B764-EA47-93FF-8D538633DAAC,#REF!,AREA,,1,1,#REF!,1,0
PARAM,916146D5-C142-174A-8722-06AB7F1A7C7C,#REF!,VOLUME,,1,1,#REF!,1,0
PARAM,460D7BE4-6A7E-AD45-B5EC-4F4786C82E37,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,87BC878B-9902-D245-9714-B56F427DB326,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,4F657F08-0F60-E54C-8205-1EC3CC8E5239,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,5496D208-745E-2D41-8A2E-D708AC02DDBD,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,1FE95033-4DA8-C244-B213-8BCE537D1222,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,41411245-E640-A04B-A6D2-624365DFD2CE,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,47D923E3-8ACD-6A44-80AC-ECC99362DA8A,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,B0EF9085-DD2C-ED4B-8CFE-EA5693117C0F,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,8E35302F-EE20-E041-9C81-20D83ED27E2B,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,219F0482-45A3-D74C-A047-6432D7FDC443,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,793313AD-8C7A-E542-A67B-EAE8418CB71F,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,A1CC1FA6-7039-0941-B9D0-E4542DFAEAB8,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,ADF404C5-9DC2-9C40-8BD4-7CB1FCB6E603,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,C9034AE3-6C01-1845-B31A-A6E12967B4A2,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,5F8B3D23-60FE-8C40-B5CA-A5741E333416,#REF!,TEXT,,1,1,#REF!,1,0
